ranking,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Output,Quality Publications,Influence,Citations,Score
599,"University of Nevada, Reno",USA,159,-,965,-,727,613,516,460,72.8
602,University of Montana - Missoula,USA,160,644,> 1000,-,982,761,361,327,72.7
604,University of Arkansas for Medical Sciences,USA,161,-,> 1000,-,732,569,589,460,72.7
623,University of Tennessee Health Science Center,USA,162,-,> 1000,-,751,580,371,898,72.5
638,Mississippi State University,USA,163,329,412,-,622,654,601,673,72.4
639,"University of Maryland, Baltimore County",USA,164,-,> 1000,-,894,658,389,541,72.4
641,Augusta University,USA,165,-,> 1000,-,779,572,475,673,72.4
649,University of Texas at San Antonio,USA,166,-,> 1000,-,738,621,486,673,72.3
665,University of Idaho,USA,167,-,> 1000,-,818,698,524,460,72.2
666,University of Louisiana at Lafayette,USA,168,-,> 1000,-,984,768,538,304,72.2
669,Rutgers University–Newark,USA,169,-,> 1000,157,> 1000,775,527,> 1000,72.1
677,University of Akron,USA,170,-,734,-,848,720,733,363,72.1
681,University of Rhode Island,USA,171,-,487,-,907,738,441,541,72
682,"University of North Texas, Denton",USA,172,-,986,-,745,699,730,460,72
687,Kent State University,USA,173,-,> 1000,-,789,697,472,673,72
706,City College of New York,USA,174,52,411,-,> 1000,788,496,673,71.8
727,Northern Illinois University,USA,175,-,561,-,950,795,840,327,71.7
729,University of Missouri–Kansas City,USA,176,567,624,-,840,681,459,898,71.6
743,Southern Illinois University Carbondale,USA,177,383,> 1000,-,763,665,599,898,71.5
746,"University of Nevada, Las Vegas",USA,178,-,> 1000,-,796,687,546,898,71.5
750,Illinois Institute of Technology,USA,179,156,110,-,> 1000,821,860,541,71.5
751,Miami University,USA,180,-,119,-,965,822,810,541,71.5
757,Old Dominion University,USA,181,-,> 1000,-,859,791,644,541,71.4
759,University of Texas Rio Grande Valley,USA,182,-,> 1000,-,> 1000,854,604,405,71.4
765,University of Toledo,USA,183,-,> 1000,-,791,668,629,898,71.4
770,New Mexico State University,USA,184,-,904,-,897,773,649,541,71.3
773,University of North Carolina at Charlotte,USA,185,-,532,-,855,789,758,541,71.3
803,Ohio University,USA,186,441,353,-,809,680,591,> 1000,71.1
815,Portland State University,USA,187,-,335,-,934,817,652,673,71
829,Uniformed Services University of the Health Sciences,USA,188,-,> 1000,-,869,690,525,> 1000,70.9
830,University of Denver,USA,189,558,160,-,> 1000,900,554,673,70.9
835,East Carolina University,USA,190,-,704,-,842,763,710,898,70.9
843,Binghamton University,USA,191,-,388,-,964,748,658,898,70.8
855,Michigan Technological University,USA,192,615,> 1000,-,938,839,742,673,70.7
860,New Jersey Institute of Technology,USA,193,465,736,-,> 1000,882,720,541,70.7
862,Creighton University,USA,194,-,> 1000,-,> 1000,922,616,460,70.7
871,Wesleyan University,USA,195,87,49,-,> 1000,> 1000,671,898,70.6
879,"University of California, Merced",USA,196,-,> 1000,-,> 1000,868,505,673,70.5
885,Northern Arizona University,USA,197,-,> 1000,-,> 1000,978,517,541,70.5
912,Florida Institute of Technology,USA,198,-,545,-,> 1000,> 1000,925,327,70.3
922,North Dakota State University,USA,199,326,> 1000,-,909,834,> 1000,898,70.3
934,University of Alabama in Huntsville,USA,200,-,> 1000,-,> 1000,> 1000,461,673,70.2
935,Rochester Institute of Technology,USA,201,-,944,-,> 1000,975,689,541,70.2
939,University of Massachusetts Boston,USA,202,-,> 1000,-,> 1000,850,672,898,70.1
943,San Francisco State University,USA,203,516,> 1000,275,> 1000,974,703,898,70.1
947,Howard University,USA,204,327,> 1000,-,> 1000,> 1000,744,541,70.1
962,University of Memphis,USA,205,-,500,-,918,831,899,> 1000,70
963,Hunter College,USA,206,395,> 1000,-,> 1000,884,702,898,70
973,Amherst College,USA,207,21,66,-,> 1000,> 1000,983,> 1000,69.9
976,New York Medical College,USA,208,-,> 1000,-,> 1000,913,719,898,69.9
977,Missouri University of Science and Technology,USA,209,-,392,-,916,827,> 1000,> 1000,69.9
980,Eastern Virginia Medical School,USA,210,-,> 1000,-,> 1000,> 1000,792,327,69.9
981,University of North Carolina at Greensboro,USA,211,-,> 1000,-,> 1000,938,> 1000,673,69.9
993,University of Massachusetts Lowell,USA,212,-,930,-,> 1000,989,> 1000,541,69.8
994,Loma Linda University,USA,213,180,> 1000,-,> 1000,949,890,898,69.8
